name,resource_id,resource_id_hex,source
cnj506,60948979,0x03A201F3,extrasheets
com0g1,60954432,0x03A21740,extrasheets
com0g2,60954448,0x03A21750,extrasheets
com0g3,60954464,0x03A21760,extrasheets
com0g4,60954480,0x03A21770,extrasheets
com0g5,60954496,0x03A21780,extrasheets
com0g6,60954512,0x03A21790,extrasheets
com0g7,60954528,0x03A217A0,extrasheets
com0g8,60954544,0x03A217B0,extrasheets
com0g9,60954560,0x03A217C0,extrasheets
com0l1,60954576,0x03A217D0,extrasheets
com0l2,60954592,0x03A217E0,extrasheets
com0l3,60954608,0x03A217F0,extrasheets
com0l4,60954624,0x03A21800,extrasheets
com0l5,60954640,0x03A21810,extrasheets
com0l6,60954656,0x03A21820,extrasheets
com0l7,60954672,0x03A21830,extrasheets
com0l8,60954688,0x03A21840,extrasheets
com0l9,60954704,0x03A21850,extrasheets
com0u1,60954720,0x03A21860,extrasheets
com0u2,60954736,0x03A21870,extrasheets
com0u3,60954752,0x03A21880,extrasheets
com0u4,60954768,0x03A21890,extrasheets
com0u5,60954784,0x03A218A0,extrasheets
com0u6,60954800,0x03A218B0,extrasheets
com0u7,60954816,0x03A218C0,extrasheets
com0u8,60954832,0x03A218D0,extrasheets
com0u9,60954848,0x03A218E0,extrasheets
com5g0,60954864,0x03A218F0,extrasheets
com5g1,60954880,0x03A21900,extrasheets
com5g2,60954896,0x03A21910,extrasheets
com5g3,60954912,0x03A21920,extrasheets
com5g4,60954928,0x03A21930,extrasheets
com5g5,60954944,0x03A21940,extrasheets
com5l0,60954960,0x03A21950,extrasheets
com5l1,60954976,0x03A21960,extrasheets
com5l2,60954992,0x03A21970,extrasheets
com5l3,60955008,0x03A21980,extrasheets
com5l4,60955024,0x03A21990,extrasheets
com5l5,60955040,0x03A219A0,extrasheets
com5u0,60955056,0x03A219B0,extrasheets
com5u1,60955072,0x03A219C0,extrasheets
com5u2,60955088,0x03A219D0,extrasheets
com5u3,60955104,0x03A219E0,extrasheets
com5u4,60955120,0x03A219F0,extrasheets
com5u5,60955136,0x03A21A00,extrasheets
command,16973987,0x010300A3,game_schema
communityMember,16974926,0x0103044E,game_schema
companyleveRescueNormal,60956208,0x03A21E30,extrasheets
compatibility,16974309,0x010301E5,game_schema
craftJudge,60948496,0x03A20010,extrasheets
cul200,60948586,0x03A2006A,extrasheets
cul300,60948593,0x03A20071,extrasheets
cul306,60948733,0x03A200FD,extrasheets
cul400,60948737,0x03A20101,extrasheets
cul500,60948741,0x03A20105,extrasheets
cul506,60948745,0x03A20109,extrasheets
cutReplay,16975268,0x010305A4,game_schema
debug,60948480,0x03A20000,extrasheets
debugCommand,16974899,0x01030433,game_schema
dftFst,60948787,0x03A20133,extrasheets
dftLak,60949937,0x03A205B1,extrasheets
dftRoc,60949950,0x03A205BE,extrasheets
dftSea,60948791,0x03A20137,extrasheets
dftSrt,60948549,0x03A20045,extrasheets
dftWil,60948795,0x03A2013B,extrasheets
drg0j1,60957252,0x03A22244,extrasheets
drg0j2,60957268,0x03A22254,extrasheets
drg0j3,60957284,0x03A22264,extrasheets
drg0j4,60957300,0x03A22274,extrasheets
drg0j5,60957316,0x03A22284,extrasheets
drg0j6,60957332,0x03A22294,extrasheets
drg0j7,60957348,0x03A222A4,extrasheets
drg0j8,60957364,0x03A222B4,extrasheets
drg0j9,60957380,0x03A222C4,extrasheets
drg1j0,60957396,0x03A222D4,extrasheets
elevatorStandard,60950592,0x03A20840,extrasheets
emote,16974069,0x010300F5,game_schema
equipSet,16974086,0x01030106,game_schema
equipment,16973991,0x010300A7,game_schema
etc0g1,60951229,0x03A20ABD,extrasheets
etc0g2,60951245,0x03A20ACD,extrasheets
etc0g3,60951261,0x03A20ADD,extrasheets
etc0g4,60951277,0x03A20AED,extrasheets
etc0g5,60951293,0x03A20AFD,extrasheets
etc0g6,60951309,0x03A20B0D,extrasheets
etc0g7,60951325,0x03A20B1D,extrasheets
etc0g8,60951341,0x03A20B2D,extrasheets
etc0g9,60951357,0x03A20B3D,extrasheets
etc0l1,60951373,0x03A20B4D,extrasheets
etc0l2,60951389,0x03A20B5D,extrasheets
etc0l3,60951405,0x03A20B6D,extrasheets
etc0l4,60951421,0x03A20B7D,extrasheets
etc0l5,60951437,0x03A20B8D,extrasheets
etc0l6,60951453,0x03A20B9D,extrasheets
etc0l7,60951469,0x03A20BAD,extrasheets
etc0l8,60951485,0x03A20BBD,extrasheets
etc0l9,60951501,0x03A20BCD,extrasheets
etc0u1,60951517,0x03A20BDD,extrasheets
etc0u2,60951533,0x03A20BED,extrasheets
etc0u3,60951549,0x03A20BFD,extrasheets
etc0u4,60951565,0x03A20C0D,extrasheets
etc0u5,60951581,0x03A20C1D,extrasheets
etc0u6,60951597,0x03A20C2D,extrasheets
etc0u7,60951613,0x03A20C3D,extrasheets
etc0u8,60951629,0x03A20C4D,extrasheets
etc0u9,60951645,0x03A20C5D,extrasheets
etc101,60955872,0x03A21CE0,extrasheets
etc102,60955888,0x03A21CF0,extrasheets
etc103,60955904,0x03A21D00,extrasheets
etc104,60955920,0x03A21D10,extrasheets
etc105,60955936,0x03A21D20,extrasheets
etc106,60958896,0x03A228B0,extrasheets
etc1g0,60951837,0x03A20D1D,extrasheets
etc1g1,60951841,0x03A20D21,extrasheets
etc1g2,60951857,0x03A20D31,extrasheets
etc1g3,60952103,0x03A20E27,extrasheets
etc1g4,60951883,0x03A20D4B,extrasheets
etc1g5,60951939,0x03A20D83,extrasheets
etc1g6,60951923,0x03A20D73,extrasheets
etc1g7,60951927,0x03A20D77,extrasheets
etc1g8,60951931,0x03A20D7B,extrasheets
etc1g9,60951935,0x03A20D7F,extrasheets
etc1l0,60951849,0x03A20D29,extrasheets
etc1l1,60951865,0x03A20D39,extrasheets
etc1l2,60952215,0x03A20E97,extrasheets
etc1l3,60951873,0x03A20D41,extrasheets
etc1l4,60952243,0x03A20EB3,extrasheets
etc1l5,60951895,0x03A20D57,extrasheets
etc1l6,60951887,0x03A20D4F,extrasheets
etc1l7,60951891,0x03A20D53,extrasheets
etc1l8,60951899,0x03A20D5B,extrasheets
etc1l9,60951903,0x03A20D5F,extrasheets
etc1u0,60951845,0x03A20D25,extrasheets
etc1u1,60951853,0x03A20D2D,extrasheets
etc1u2,60951861,0x03A20D35,extrasheets
etc1u3,60952355,0x03A20F23,extrasheets
etc1u4,60951869,0x03A20D3D,extrasheets
etc1u5,60951943,0x03A20D87,extrasheets
etc1u6,60951907,0x03A20D63,extrasheets
etc1u7,60951911,0x03A20D67,extrasheets
etc1u8,60951915,0x03A20D6B,extrasheets
etc1u9,60951919,0x03A20D6F,extrasheets
etc200,60957412,0x03A222E4,extrasheets
etc201,60957428,0x03A222F4,extrasheets
etc202,60957444,0x03A22304,extrasheets
etc203,60957460,0x03A22314,extrasheets
etc204,60957476,0x03A22324,extrasheets
etc205,60957492,0x03A22334,extrasheets
etc206,60957508,0x03A22344,extrasheets
etc207,60957524,0x03A22354,extrasheets
etc208,60957540,0x03A22364,extrasheets
etc209,60957556,0x03A22374,extrasheets
etc2g0,60951947,0x03A20D8B,extrasheets
etc2g1,60951951,0x03A20D8F,extrasheets
etc2g2,60951955,0x03A20D93,extrasheets
etc2g3,60951959,0x03A20D97,extrasheets
etc2g4,60951963,0x03A20D9B,extrasheets
etc2g5,60951967,0x03A20D9F,extrasheets
etc2g6,60951971,0x03A20DA3,extrasheets
etc2g7,60951975,0x03A20DA7,extrasheets
etc2g8,60951979,0x03A20DAB,extrasheets
etc2g9,60951983,0x03A20DAF,extrasheets
etc2i0,60953283,0x03A212C3,extrasheets
etc2i1,60953299,0x03A212D3,extrasheets
etc2i2,60953315,0x03A212E3,extrasheets
etc2i3,60953331,0x03A212F3,extrasheets
etc2i4,60953347,0x03A21303,extrasheets
etc2i5,60953363,0x03A21313,extrasheets
etc2i6,60953379,0x03A21323,extrasheets
etc2i7,60953395,0x03A21333,extrasheets
etc2i8,60953411,0x03A21343,extrasheets
etc2i9,60953427,0x03A21353,extrasheets
etc2l0,60951987,0x03A20DB3,extrasheets
etc2l1,60951991,0x03A20DB7,extrasheets
etc2l2,60951995,0x03A20DBB,extrasheets
etc2l3,60951999,0x03A20DBF,extrasheets
etc2l4,60952003,0x03A20DC3,extrasheets
etc2l5,60952007,0x03A20DC7,extrasheets
etc2l6,60952011,0x03A20DCB,extrasheets
etc2l7,60952015,0x03A20DCF,extrasheets
etc2l8,60952019,0x03A20DD3,extrasheets
etc2l9,60952023,0x03A20DD7,extrasheets
etc2u0,60952027,0x03A20DDB,extrasheets
etc2u1,60952031,0x03A20DDF,extrasheets
etc2u2,60952035,0x03A20DE3,extrasheets
etc2u3,60952039,0x03A20DE7,extrasheets
etc2u4,60952043,0x03A20DEB,extrasheets
etc2u5,60952047,0x03A20DEF,extrasheets
etc2u6,60952051,0x03A20DF3,extrasheets
etc2u7,60952055,0x03A20DF7,extrasheets
etc2u8,60952059,0x03A20DFB,extrasheets
etc2u9,60952063,0x03A20DFF,extrasheets
etc303,60955952,0x03A21D30,extrasheets
etc304,60958928,0x03A228D0,extrasheets
etc3g0,60952963,0x03A21183,extrasheets
etc3g1,60952979,0x03A21193,extrasheets
etc3g2,60952995,0x03A211A3,extrasheets
etc3g3,60953011,0x03A211B3,extrasheets
etc3g4,60953027,0x03A211C3,extrasheets
etc3g5,60953043,0x03A211D3,extrasheets
etc3g6,60953059,0x03A211E3,extrasheets
etc3g7,60953075,0x03A211F3,extrasheets
etc3g8,60953091,0x03A21203,extrasheets
etc3g9,60953107,0x03A21213,extrasheets
etc3l0,60953123,0x03A21223,extrasheets
etc3l1,60953139,0x03A21233,extrasheets
etc3l2,60953155,0x03A21243,extrasheets
etc3l3,60953171,0x03A21253,extrasheets
etc3l4,60953187,0x03A21263,extrasheets
etc3l5,60953203,0x03A21273,extrasheets
etc3l6,60953219,0x03A21283,extrasheets
etc3l7,60953235,0x03A21293,extrasheets
etc3l8,60953251,0x03A212A3,extrasheets
etc3l9,60953267,0x03A212B3,extrasheets
etc3u0,60952803,0x03A210E3,extrasheets
etc3u1,60952819,0x03A210F3,extrasheets
etc3u2,60952835,0x03A21103,extrasheets
etc3u3,60952851,0x03A21113,extrasheets
etc3u4,60952867,0x03A21123,extrasheets
etc3u5,60952883,0x03A21133,extrasheets
etc3u6,60952899,0x03A21143,extrasheets
etc3u7,60952915,0x03A21153,extrasheets
etc3u8,60952931,0x03A21163,extrasheets
etc3u9,60952947,0x03A21173,extrasheets
etc5g0,60957572,0x03A22384,extrasheets
etc5g1,60957588,0x03A22394,extrasheets
etc5g2,60957604,0x03A223A4,extrasheets
etc5g3,60957620,0x03A223B4,extrasheets
etc5g4,60957636,0x03A223C4,extrasheets
etc5g5,60957652,0x03A223D4,extrasheets
etc5g6,60957668,0x03A223E4,extrasheets
etc5g7,60957684,0x03A223F4,extrasheets
etc5g8,60957700,0x03A22404,extrasheets
etc5g9,60957716,0x03A22414,extrasheets
etc5l0,60957732,0x03A22424,extrasheets
etc5l1,60957748,0x03A22434,extrasheets
etc5l2,60957764,0x03A22444,extrasheets
etc5l3,60957780,0x03A22454,extrasheets
etc5l4,60957796,0x03A22464,extrasheets
etc5l5,60957812,0x03A22474,extrasheets
etc5l6,60957828,0x03A22484,extrasheets
etc5l7,60957844,0x03A22494,extrasheets
etc5l8,60957860,0x03A224A4,extrasheets
etc5l9,60957876,0x03A224B4,extrasheets
etc5u0,60957892,0x03A224C4,extrasheets
etc5u1,60957908,0x03A224D4,extrasheets
etc5u2,60957924,0x03A224E4,extrasheets
etc5u3,60957940,0x03A224F4,extrasheets
etc5u4,60957956,0x03A22504,extrasheets
etc5u5,60957972,0x03A22514,extrasheets
etc5u6,60957988,0x03A22524,extrasheets
etc5u7,60958004,0x03A22534,extrasheets
etc5u8,60958020,0x03A22544,extrasheets
etc5u9,60958036,0x03A22554,extrasheets
exc200,60948491,0x03A2000B,extrasheets
exc300,60948597,0x03A20075,extrasheets
exc306,60948601,0x03A20079,extrasheets
exc400,60948767,0x03A2011F,extrasheets
exc500,60948771,0x03A20123,extrasheets
exc506,60948775,0x03A20127,extrasheets
exp_BPCost,16974548,0x010302D4,game_schema
facility,16973886,0x0103003E,game_schema
fsh200,60948611,0x03A20083,extrasheets
fsh300,60948570,0x03A2005A,extrasheets
fsh306,60948615,0x03A20087,extrasheets
fsh400,60948619,0x03A2008B,extrasheets
fsh500,60948623,0x03A2008F,extrasheets
fsh506,60948627,0x03A20093,extrasheets
gameCommand,16974043,0x010300DB,game_schema
gameCommandBasic,16974986,0x0103048A,game_schema
gcRank,16975230,0x0103057E,game_schema
gcSealShopItem,16975220,0x01030574,game_schema
gcg101,60955344,0x03A21AD0,extrasheets
gcg102,60956272,0x03A21E70,extrasheets
gcg103,60956516,0x03A21F64,extrasheets
gcg104,60956532,0x03A21F74,extrasheets
gcg105,60958784,0x03A22840,extrasheets
gcg106,60958800,0x03A22850,extrasheets
gcg107,60958944,0x03A228E0,extrasheets
gcg301,60955360,0x03A21AE0,extrasheets
gcg302,60955376,0x03A21AF0,extrasheets
gcg303,60955392,0x03A21B00,extrasheets
gcg304,60955408,0x03A21B10,extrasheets
gcg305,60956224,0x03A21E40,extrasheets
gcg501,60955424,0x03A21B20,extrasheets
gcg502,60955440,0x03A21B30,extrasheets
gcg601,60955712,0x03A21C40,extrasheets
gcg602,60955728,0x03A21C50,extrasheets
gcg603,60955744,0x03A21C60,extrasheets
gcg701,60956288,0x03A21E80,extrasheets
gcg702,60958960,0x03A228F0,extrasheets
gcl101,60955456,0x03A21B40,extrasheets
gcl102,60956304,0x03A21E90,extrasheets
gcl103,60956548,0x03A21F84,extrasheets
gcl104,60956564,0x03A21F94,extrasheets
gcl105,60958816,0x03A22860,extrasheets
gcl106,60958832,0x03A22870,extrasheets
gcl107,60958976,0x03A22900,extrasheets
gcl301,60955472,0x03A21B50,extrasheets
gcl302,60955488,0x03A21B60,extrasheets
gcl303,60955504,0x03A21B70,extrasheets
gcl304,60955520,0x03A21B80,extrasheets
gcl305,60956240,0x03A21E50,extrasheets
gcl501,60955536,0x03A21B90,extrasheets
gcl502,60955552,0x03A21BA0,extrasheets
gcl601,60955760,0x03A21C70,extrasheets
gcl602,60955776,0x03A21C80,extrasheets
gcl603,60955792,0x03A21C90,extrasheets
gcl701,60956320,0x03A21EA0,extrasheets
gcl702,60958992,0x03A22910,extrasheets
gcu101,60955568,0x03A21BB0,extrasheets
gcu102,60956336,0x03A21EB0,extrasheets
gcu103,60956580,0x03A21FA4,extrasheets
gcu104,60956596,0x03A21FB4,extrasheets
gcu105,60958848,0x03A22880,extrasheets
gcu106,60958864,0x03A22890,extrasheets
gcu107,60959008,0x03A22920,extrasheets
gcu301,60955584,0x03A21BC0,extrasheets
gcu302,60955600,0x03A21BD0,extrasheets
gcu303,60955616,0x03A21BE0,extrasheets
gcu304,60955632,0x03A21BF0,extrasheets
gcu305,60956256,0x03A21E60,extrasheets
gcu501,60955648,0x03A21C00,extrasheets
gcu502,60955664,0x03A21C10,extrasheets
gcu601,60955808,0x03A21CA0,extrasheets
gcu602,60955824,0x03A21CB0,extrasheets
gcu603,60955840,0x03A21CC0,extrasheets
gcu701,60956352,0x03A21EC0,extrasheets
gcu702,60959024,0x03A22930,extrasheets
gimmickExitRect,60958544,0x03A22750,extrasheets
gimmickPoisonCure,60958560,0x03A22760,extrasheets
gimmickTerminal,60958576,0x03A22770,extrasheets
gimmickWarp,60958592,0x03A22780,extrasheets
gla200,60948993,0x03A20201,extrasheets
gla300,60948997,0x03A20205,extrasheets
gla306,60949001,0x03A20209,extrasheets
gla400,60949005,0x03A2020D,extrasheets
gla500,60950358,0x03A20756,extrasheets
gla506,60950359,0x03A20757,extrasheets
gld200,60950296,0x03A20718,extrasheets
gld300,60949972,0x03A205D4,extrasheets
gld306,60949985,0x03A205E1,extrasheets
gld400,60949998,0x03A205EE,extrasheets
gld500,60950011,0x03A205FB,extrasheets
gld506,60950024,0x03A20608,extrasheets
guildleve,16974053,0x010300E5,game_schema
guildlevePack,16975117,0x0103050D,game_schema
guildleveWarpPoint,60948490,0x03A2000A,extrasheets
guildleve_UI,16974079,0x010300FF,game_schema
hamletDefScore,16975317,0x010305D5,game_schema
harvestJudge,60949788,0x03A2051C,extrasheets
hrv200,60948725,0x03A200F5,extrasheets
hrv300,60948851,0x03A20173,extrasheets
hrv306,60948855,0x03A20177,extrasheets
hrv400,60948859,0x03A2017B,extrasheets
hrv500,60948863,0x03A2017F,extrasheets
hrv506,60948867,0x03A20183,extrasheets
instanceRaidGuideAurumVale,60958400,0x03A226C0,extrasheets
instanceRaidGuideCuttersCry,60958416,0x03A226D0,extrasheets
itemColor,16973909,0x01030055,game_schema
itemData,16974121,0x01030129,game_schema
itemGcExSupply,16975306,0x010305CA,game_schema
itemHamletSupply,16975310,0x010305CE,game_schema
key_config,16974185,0x01030169,game_schema
key_config2,16974292,0x010301D4,game_schema
key_config3,16975193,0x01030559,game_schema
lnc200,60948935,0x03A201C7,extrasheets
lnc300,60948939,0x03A201CB,extrasheets
lnc306,60948943,0x03A201CF,extrasheets
lnc400,60948947,0x03A201D3,extrasheets
lnc500,60948951,0x03A201D7,extrasheets
lnc506,60948955,0x03A201DB,extrasheets
man0g0,60948871,0x03A20187,extrasheets
man0g1,60948875,0x03A2018B,extrasheets
man0l0,60948501,0x03A20015,extrasheets
man0l1,60948574,0x03A2005E,extrasheets
man0u0,60949831,0x03A20547,extrasheets
man0u1,60949839,0x03A2054F,extrasheets
man1g0,60948879,0x03A2018F,extrasheets
man1l0,60948578,0x03A20062,extrasheets
man1u0,60949843,0x03A20553,extrasheets
man200,60950037,0x03A20615,extrasheets
man206,60950050,0x03A20622,extrasheets
man2g0,60948883,0x03A20193,extrasheets
man2l0,60948503,0x03A20017,extrasheets
man2u0,60949847,0x03A20557,extrasheets
man300,60950063,0x03A2062F,extrasheets
man304,60950076,0x03A2063C,extrasheets
man308,60950089,0x03A20649,extrasheets
man402,60950102,0x03A20656,extrasheets
man406,60950115,0x03A20663,extrasheets
man502,60950128,0x03A20670,extrasheets
man504,60950141,0x03A2067D,extrasheets
mapNavi_data,16975121,0x01030511,game_schema
mapObjPortDoor,60948655,0x03A200AF,extrasheets
marketItem,16974774,0x010303B6,game_schema
materia,16975234,0x01030582,game_schema
materiaBook,60956072,0x03A21DA8,extrasheets
memberRank,16974922,0x0103044A,game_schema
min200,60950309,0x03A20725,extrasheets
min300,60950154,0x03A2068A,extrasheets
min306,60950167,0x03A20697,extrasheets
min400,60950180,0x03A206A4,extrasheets
min500,60950193,0x03A206B1,extrasheets
min506,60950206,0x03A206BE,extrasheets
mnk0j1,60956932,0x03A22104,extrasheets
mnk0j2,60956948,0x03A22114,extrasheets
mnk0j3,60956964,0x03A22124,extrasheets
mnk0j4,60956980,0x03A22134,extrasheets
mnk0j5,60956996,0x03A22144,extrasheets
mnk0j6,60957012,0x03A22154,extrasheets
mnk0j7,60957028,0x03A22164,extrasheets
mnk0j8,60957044,0x03A22174,extrasheets
mnk0j9,60957060,0x03A22184,extrasheets
mnk1j0,60957076,0x03A22194,extrasheets
negotiationItem,16974918,0x01030446,game_schema
noc000,60954403,0x03A21723,extrasheets
noc001,60956128,0x03A21DE0,extrasheets
noc002,60958608,0x03A22790,extrasheets
noc003,60958624,0x03A227A0,extrasheets
objectBed,60958720,0x03A22800,extrasheets
objectEventDoor,60948680,0x03A200C8,extrasheets
objectItemStorage,60958752,0x03A22820,extrasheets
occupancyGuideStandard,60955152,0x03A21A10,extrasheets
ordinaryRetainer,60948799,0x03A2013F,extrasheets
passiveGL_craft,16973928,0x01030068,game_schema
passiveGL_icon,16973848,0x01030018,game_schema
passiveGL_type,16974212,0x01030184,game_schema
pgAeth,60948803,0x03A20143,extrasheets
pgConv,60948807,0x03A20147,extrasheets
pgHaml,60948811,0x03A2014B,extrasheets
pgHarvestPointEncounter,60949818,0x03A2053A,extrasheets
pgl200,60949009,0x03A20211,extrasheets
pgl300,60949013,0x03A20215,extrasheets
pgl306,60949017,0x03A20219,extrasheets
pgl400,60949021,0x03A2021D,extrasheets
pgl500,60950432,0x03A207A0,extrasheets
pgl506,60950433,0x03A207A1,extrasheets
pld0j1,60958052,0x03A22564,extrasheets
pld0j2,60958068,0x03A22574,extrasheets
pld0j3,60958084,0x03A22584,extrasheets
pld0j4,60958100,0x03A22594,extrasheets
pld0j5,60958116,0x03A225A4,extrasheets
pld0j6,60958132,0x03A225B4,extrasheets
pld0j7,60958148,0x03A225C4,extrasheets
pld0j8,60958164,0x03A225D4,extrasheets
pld0j9,60958180,0x03A225E4,extrasheets
pld1j0,60958196,0x03A225F4,extrasheets
populace,16974189,0x0103016D,game_schema
populaceAchievement,60956480,0x03A21F40,extrasheets
populaceBlackMarketeer,60958384,0x03A226B0,extrasheets
populaceBountyPresenter,60956496,0x03A21F50,extrasheets
populaceBranchsVendor,60958756,0x03A22824,extrasheets
populaceCampMaster,60950671,0x03A2088F,extrasheets
populaceCampSubMaster,60949810,0x03A20532,extrasheets
populaceCaravanAdviser,60956016,0x03A21D70,extrasheets
populaceCaravanGuide,60956032,0x03A21D80,extrasheets
populaceCaravanManager,60956000,0x03A21D60,extrasheets
populaceChocoboLender,60956084,0x03A21DB4,extrasheets
populaceCompanyBuffer,60958736,0x03A22810,extrasheets
populaceCompanyGLPublisher,60956192,0x03A21E20,extrasheets
populaceCompanyGuide,60955984,0x03A21D50,extrasheets
populaceCompanyOfficer,60955277,0x03A21A8D,extrasheets
populaceCompanyShop,60955229,0x03A21A5D,extrasheets
populaceCompanySupply,60956144,0x03A21DF0,extrasheets
populaceCompanyWarp,60956368,0x03A21ED0,extrasheets
populaceCutScenePlayer,60958464,0x03A22700,extrasheets
populaceFactionGLWorker,60948510,0x03A2001E,extrasheets
populaceFlyingShip,60956100,0x03A21DC4,extrasheets
populaceGLKeyPerson,60951821,0x03A20D0D,extrasheets
populaceGMEventSage,60958432,0x03A226E0,extrasheets
populaceGMEventSageCryer,60958436,0x03A226E4,extrasheets
populaceGMEventTelepoGateIn,60956432,0x03A21F10,extrasheets
populaceGMEventTelepoGateOut,60956448,0x03A21F20,extrasheets
populaceGMEventTelepoLure,60956400,0x03A21EF0,extrasheets
populaceGMEventTelepoReception,60956464,0x03A21F30,extrasheets
populaceGMEventTelepoTownCryer,60956416,0x03A21F00,extrasheets
populaceGMEventTownReporter,60956384,0x03A21EE0,extrasheets
populaceGuildShop,60950688,0x03A208A0,extrasheets
populaceGuildlevePublisher,60948819,0x03A20153,extrasheets
populaceHalloweenTrans,60956176,0x03A21E10,extrasheets
populaceHamletBreeder,60949814,0x03A20536,extrasheets
populaceHamletPushEvent,60958656,0x03A227C0,extrasheets
populaceHamletSupply,60958672,0x03A227D0,extrasheets
populaceItemRepairer,60950684,0x03A2089C,extrasheets
populaceLinkshellManager,60950701,0x03A208AD,extrasheets
populaceMenuMan,60948823,0x03A20157,extrasheets
populaceNMReward,60951805,0x03A20CFD,extrasheets
populaceNMRushGuide,60959088,0x03A22970,extrasheets
populacePassiveGLPublisher,60948989,0x03A201FD,extrasheets
populaceRequestWarden,60949835,0x03A2054B,extrasheets
populaceRetainerManager,60949025,0x03A20221,extrasheets
populaceShopMateriaRemover,60956068,0x03A21DA4,extrasheets
populaceShopSalesman,60949045,0x03A20235,extrasheets
populaceSpecialEventCryer,60955168,0x03A21A20,extrasheets
populaceSumFes,60955696,0x03A21C30,extrasheets
populaceSwimSuit2011,60955856,0x03A21CD0,extrasheets
populaceTownCryer,60954419,0x03A21733,extrasheets
populaceValentMaster,60956512,0x03A21F60,extrasheets
populaceWaveAttack,60955680,0x03A21C20,extrasheets
populaceWaveAttackCryer,60956048,0x03A21D90,extrasheets
populaceYukata,60959092,0x03A22974,extrasheets
privateGLBattleSweepEpic,60959072,0x03A22960,extrasheets
