field,source_column,packed_s32,packed_u32_hex,bits_31_30,bits_29_20,bits_19_10,bits_9_0,row_count
mainHand,0x19,331351046,0x13C00406,0,316,1,6,13
mainHand,0x19,331351047,0x13C00407,0,316,1,7,3
mainHand,0x19,331351048,0x13C00408,0,316,1,8,4
mainHand,0x19,331351049,0x13C00409,0,316,1,9,6
mainHand,0x19,331351050,0x13C0040A,0,316,1,10,7
mainHand,0x19,331351051,0x13C0040B,0,316,1,11,4
mainHand,0x19,331351052,0x13C0040C,0,316,1,12,5
mainHand,0x19,347079680,0x14B00400,0,331,1,0,3
mainHand,0x19,347079681,0x14B00401,0,331,1,1,5
mainHand,0x19,347079683,0x14B00403,0,331,1,3,11
mainHand,0x19,347079684,0x14B00404,0,331,1,4,15
mainHand,0x19,347079685,0x14B00405,0,331,1,5,8
mainHand,0x19,347079687,0x14B00407,0,331,1,7,2
mainHand,0x19,347079690,0x14B0040A,0,331,1,10,3
mainHand,0x19,347079691,0x14B0040B,0,331,1,11,22
mainHand,0x19,347079711,0x14B0041F,0,331,1,31,3
mainHand,0x19,347080704,0x14B00800,0,331,2,0,1
mainHand,0x19,347080706,0x14B00802,0,331,2,2,3
mainHand,0x19,347080744,0x14B00828,0,331,2,40,1
mainHand,0x19,347080754,0x14B00832,0,331,2,50,4
mainHand,0x19,347080814,0x14B0086E,0,331,2,110,7
mainHand,0x19,347081729,0x14B00C01,0,331,3,1,2
mainHand,0x19,347081739,0x14B00C0B,0,331,3,11,1
mainHand,0x19,347081758,0x14B00C1E,0,331,3,30,4
mainHand,0x19,347081778,0x14B00C32,0,331,3,50,1
mainHand,0x19,347081798,0x14B00C46,0,331,3,70,7
mainHand,0x19,347082752,0x14B01000,0,331,4,0,1
mainHand,0x19,347083776,0x14B01400,0,331,5,0,1
mainHand,0x19,348130304,0x14C00C00,0,332,3,0,1
mainHand,0x19,368051240,0x15F00428,0,351,1,40,1
mainHand,0x19,383779840,0x16E00400,0,366,1,0,6
mainHand,0x19,383779841,0x16E00401,0,366,1,1,5
mainHand,0x19,383779842,0x16E00402,0,366,1,2,8
mainHand,0x19,383779860,0x16E00414,0,366,1,20,1
mainHand,0x19,383779861,0x16E00415,0,366,1,21,1
mainHand,0x19,383779870,0x16E0041E,0,366,1,30,1
mainHand,0x19,383779881,0x16E00429,0,366,1,41,3
mainHand,0x19,383779882,0x16E0042A,0,366,1,42,1
mainHand,0x19,383779883,0x16E0042B,0,366,1,43,4
mainHand,0x19,404751360,0x18200400,0,386,1,0,1
mainHand,0x19,705692683,0x2A10040B,0,673,1,11,2
mainHand,0x19,705692693,0x2A100415,0,673,1,21,5
mainHand,0x19,705692712,0x2A100428,0,673,1,40,6
mainHand,0x19,705692722,0x2A100432,0,673,1,50,4
mainHand,0x19,705692733,0x2A10043D,0,673,1,61,1
mainHand,0x19,705692742,0x2A100446,0,673,1,70,1
mainHand,0x19,705692752,0x2A100450,0,673,1,80,7
mainHand,0x19,705692763,0x2A10045B,0,673,1,91,1
mainHand,0x19,717227009,0x2AC00401,0,684,1,1,1
mainHand,0x19,717227010,0x2AC00402,0,684,1,2,2
mainHand,0x19,717227011,0x2AC00403,0,684,1,3,1
mainHand,0x19,721421313,0x2B000401,0,688,1,1,2
mainHand,0x19,721421314,0x2B000402,0,688,1,2,3
mainHand,0x19,721421324,0x2B00040C,0,688,1,12,1
mainHand,0x19,721421325,0x2B00040D,0,688,1,13,6
mainHand,0x19,721421332,0x2B000414,0,688,1,20,3
mainHand,0x19,721421333,0x2B000415,0,688,1,21,7
mainHand,0x19,721421342,0x2B00041E,0,688,1,30,1
mainHand,0x19,721421362,0x2B000432,0,688,1,50,1
mainHand,0x19,721421382,0x2B000446,0,688,1,70,1
mainHand,0x19,737149954,0x2BF00402,0,703,1,2,7
mainHand,0x19,737149955,0x2BF00403,0,703,1,3,1
mainHand,0x19,737150977,0x2BF00801,0,703,2,1,2
mainHand,0x19,737150979,0x2BF00803,0,703,2,3,5
mainHand,0x19,737151016,0x2BF00828,0,703,2,40,1
mainHand,0x19,737152000,0x2BF00C00,0,703,3,0,2
mainHand,0x19,737152010,0x2BF00C0A,0,703,3,10,4
mainHand,0x19,747635722,0x2C90040A,0,713,1,10,1
mainHand,0x19,752878603,0x2CE0040B,0,718,1,11,1
mainHand,0x19,752878604,0x2CE0040C,0,718,1,12,2
mainHand,0x19,752878613,0x2CE00415,0,718,1,21,1
mainHand,0x19,752878622,0x2CE0041E,0,718,1,30,3
mainHand,0x19,752878632,0x2CE00428,0,718,1,40,2
mainHand,0x19,752879616,0x2CE00800,0,718,2,0,1
mainHand,0x19,752879636,0x2CE00814,0,718,2,20,3
mainHand,0x19,768607232,0x2DD00400,0,733,1,0,4
mainHand,0x19,768607242,0x2DD0040A,0,733,1,10,1
mainHand,0x19,768607243,0x2DD0040B,0,733,1,11,5
mainHand,0x19,768608256,0x2DD00800,0,733,2,0,3
mainHand,0x19,768609300,0x2DD00C14,0,733,3,20,6
mainHand,0x19,768610304,0x2DD01000,0,733,4,0,5
mainHand,0x19,768610314,0x2DD0100A,0,733,4,10,1
mainHand,0x19,768610324,0x2DD01014,0,733,4,20,2
mainHand,0x19,780141568,0x2E800400,0,744,1,0,9
mainHand,0x19,780141569,0x2E800401,0,744,1,1,1
mainHand,0x19,784335872,0x2EC00400,0,748,1,0,1
mainHand,0x19,784335873,0x2EC00401,0,748,1,1,1
mainHand,0x19,784335882,0x2EC0040A,0,748,1,10,5
mainHand,0x19,784335883,0x2EC0040B,0,748,1,11,4
mainHand,0x19,784335892,0x2EC00414,0,748,1,20,1
mainHand,0x19,784335902,0x2EC0041E,0,748,1,30,3
mainHand,0x19,784335912,0x2EC00428,0,748,1,40,1
mainHand,0x19,785384448,0x2ED00400,0,749,1,0,1
mainHand,0x19,800064512,0x2FB00400,0,763,1,0,1
mainHand,0x19,800064522,0x2FB0040A,0,763,1,10,1
mainHand,0x19,800065536,0x2FB00800,0,763,2,0,1
mainHand,0x19,800067584,0x2FB01000,0,763,4,0,1
mainHand,0x19,800068608,0x2FB01400,0,763,5,0,1
mainHand,0x19,800070656,0x2FB01C00,0,763,7,0,2
mainHand,0x19,815793163,0x30A0040B,0,778,1,11,2
mainHand,0x19,815793164,0x30A0040C,0,778,1,12,6
mainHand,0x19,815793166,0x30A0040E,0,778,1,14,1
mainHand,0x19,815793167,0x30A0040F,0,778,1,15,4
mainHand,0x19,815793173,0x30A00415,0,778,1,21,2
mainHand,0x19,815793182,0x30A0041E,0,778,1,30,1
mainHand,0x19,815795200,0x30A00C00,0,778,3,0,2
mainHand,0x19,815795220,0x30A00C14,0,778,3,20,1
mainHand,0x19,826278912,0x31400400,0,788,1,0,2
mainHand,0x19,862979072,0x33700400,0,823,1,0,4
mainHand,0x19,862979074,0x33700402,0,823,1,2,3
mainHand,0x19,862980096,0x33700800,0,823,2,0,5
mainHand,0x19,862980106,0x3370080A,0,823,2,10,12
mainHand,0x19,862980116,0x33700814,0,823,2,20,10
mainHand,0x19,862981120,0x33700C00,0,823,3,0,7
mainHand,0x19,862981121,0x33700C01,0,823,3,1,8
mainHand,0x19,862982144,0x33701000,0,823,4,0,5
mainHand,0x19,862982145,0x33701001,0,823,4,1,1
mainHand,0x19,873464835,0x34100403,0,833,1,3,1
mainHand,0x19,878707712,0x34600400,0,838,1,0,8
mainHand,0x19,878707723,0x3460040B,0,838,1,11,1
mainHand,0x19,878707724,0x3460040C,0,838,1,12,2
mainHand,0x19,878708736,0x34600800,0,838,2,0,5
mainHand,0x19,878708737,0x34600801,0,838,2,1,5
mainHand,0x19,878709770,0x34600C0A,0,838,3,10,2
mainHand,0x19,894436352,0x35500400,0,853,1,0,1
mainHand,0x19,894436362,0x3550040A,0,853,1,10,3
mainHand,0x19,894436363,0x3550040B,0,853,1,11,6
mainHand,0x19,894436364,0x3550040C,0,853,1,12,1
mainHand,0x19,894437376,0x35500800,0,853,2,0,2
mainHand,0x19,894437377,0x35500801,0,853,2,1,3
mainHand,0x19,894437378,0x35500802,0,853,2,2,1
mainHand,0x19,894437386,0x3550080A,0,853,2,10,1
mainHand,0x19,894437396,0x35500814,0,853,2,20,1
mainHand,0x19,894437406,0x3550081E,0,853,2,30,2
mainHand,0x19,894437416,0x35500828,0,853,2,40,3
mainHand,0x19,904922115,0x35F00403,0,863,1,3,1
mainHand,0x19,944770048,0x38500C00,0,901,3,0,1
mainHand,0x19,944771072,0x38501000,0,901,4,0,2
mainHand,0x19,944773120,0x38501800,0,901,6,0,1
mainHand,0x19,944775168,0x38502000,0,901,8,0,1
mainHand,0x19,944776192,0x38502400,0,901,9,0,1
mainHand,0x19,944778240,0x38502C00,0,901,11,0,1
mainHand,0x19,944779264,0x38503000,0,901,12,0,1
mainHand,0x19,944780288,0x38503400,0,901,13,0,1
mainHand,0x19,944781312,0x38503800,0,901,14,0,1
mainHand,0x19,944784384,0x38504400,0,901,17,0,1
mainHand,0x19,944787456,0x38505000,0,901,20,0,2
mainHand,0x19,944788480,0x38505400,0,901,21,0,1
mainHand,0x19,944790528,0x38505C00,0,901,23,0,1
mainHand,0x19,944792576,0x38506400,0,901,25,0,1
mainHand,0x19,944797696,0x38507800,0,901,30,0,1
mainHand,0x19,944803840,0x38509000,0,901,36,0,1
mainHand,0x19,944805888,0x38509800,0,901,38,0,1
mainHand,0x19,944809984,0x3850A800,0,901,42,0,1
mainHand,0x19,944811008,0x3850AC00,0,901,43,0,1
mainHand,0x19,947914752,0x38800800,0,904,2,0,4
mainHand,0x19,948962304,0x38900400,0,905,1,0,1
mainHand,0x19,954205184,0x38E00400,0,910,1,0,1
offHand,0x1A,0,0x00000000,0,0,0,0,6888
offHand,0x1A,1049600,0x00100400,0,1,1,0,5
offHand,0x1A,32506900,0x01F00414,0,31,1,20,4
offHand,0x1A,32507904,0x01F00800,0,31,2,0,2
offHand,0x1A,32507914,0x01F0080A,0,31,2,10,18
offHand,0x1A,32507915,0x01F0080B,0,31,2,11,1
offHand,0x1A,32507924,0x01F00814,0,31,2,20,3
offHand,0x1A,32507934,0x01F0081E,0,31,2,30,6
offHand,0x1A,32507944,0x01F00828,0,31,2,40,42
offHand,0x1A,32507954,0x01F00832,0,31,2,50,1
offHand,0x1A,32507964,0x01F0083C,0,31,2,60,16
offHand,0x1A,32508928,0x01F00C00,0,31,3,0,5
offHand,0x1A,32508938,0x01F00C0A,0,31,3,10,7
offHand,0x1A,32508939,0x01F00C0B,0,31,3,11,1
offHand,0x1A,32508948,0x01F00C14,0,31,3,20,14
offHand,0x1A,32508958,0x01F00C1E,0,31,3,30,2
offHand,0x1A,32508968,0x01F00C28,0,31,3,40,9
offHand,0x1A,32509952,0x01F01000,0,31,4,0,29
offHand,0x1A,32509953,0x01F01001,0,31,4,1,9
offHand,0x1A,32509962,0x01F0100A,0,31,4,10,25
offHand,0x1A,32509982,0x01F0101E,0,31,4,30,2
offHand,0x1A,32510976,0x01F01400,0,31,5,0,18
offHand,0x1A,32510977,0x01F01401,0,31,5,1,16
offHand,0x1A,32510978,0x01F01402,0,31,5,2,12
offHand,0x1A,32510979,0x01F01403,0,31,5,3,28
offHand,0x1A,32510981,0x01F01405,0,31,5,5,5
offHand,0x1A,32510983,0x01F01407,0,31,5,7,30
offHand,0x1A,32510984,0x01F01408,0,31,5,8,4
offHand,0x1A,32510986,0x01F0140A,0,31,5,10,9
offHand,0x1A,32512000,0x01F01800,0,31,6,0,1
offHand,0x1A,32512010,0x01F0180A,0,31,6,10,25
offHand,0x1A,32512030,0x01F0181E,0,31,6,30,7
offHand,0x1A,32513024,0x01F01C00,0,31,7,0,7
offHand,0x1A,32513064,0x01F01C28,0,31,7,40,6
offHand,0x1A,32514048,0x01F02000,0,31,8,0,2
offHand,0x1A,32514058,0x01F0200A,0,31,8,10,11
offHand,0x1A,32514078,0x01F0201E,0,31,8,30,33
offHand,0x1A,32514088,0x01F02028,0,31,8,40,5
offHand,0x1A,32514128,0x01F02050,0,31,8,80,1
offHand,0x1A,32514138,0x01F0205A,0,31,8,90,5
offHand,0x1A,32515082,0x01F0240A,0,31,9,10,2
offHand,0x1A,32515092,0x01F02414,0,31,9,20,7
offHand,0x1A,32515112,0x01F02428,0,31,9,40,7
offHand,0x1A,32515122,0x01F02432,0,31,9,50,3
offHand,0x1A,32516096,0x01F02800,0,31,10,0,2
offHand,0x1A,32517120,0x01F02C00,0,31,11,0,1
offHand,0x1A,33526784,0x01FF9400,0,31,997,0,11
offHand,0x1A,59770880,0x03900800,0,57,2,0,3
offHand,0x1A,59770890,0x0390080A,0,57,2,10,1
offHand,0x1A,59770900,0x03900814,0,57,2,20,13
offHand,0x1A,59770910,0x0390081E,0,57,2,30,10
offHand,0x1A,59770920,0x03900828,0,57,2,40,5
offHand,0x1A,59770930,0x03900832,0,57,2,50,1
offHand,0x1A,59770931,0x03900833,0,57,2,51,6
offHand,0x1A,59771904,0x03900C00,0,57,3,0,1
offHand,0x1A,59771905,0x03900C01,0,57,3,1,8
offHand,0x1A,59771914,0x03900C0A,0,57,3,10,1
offHand,0x1A,59771915,0x03900C0B,0,57,3,11,9
offHand,0x1A,59771924,0x03900C14,0,57,3,20,25
