source_sheet,resource_path,resource_instance,ui_class,visibility,row_count,first_row_id,last_row_id
2Dmap_marker.csv,common/mapMarker.le.spk,m00023,MapMarkerPoint,Collapsed,31,1043,5012
2Dmap_marker.csv,common/mapMarker.le.spk,m00024,MapMarkerPoint,Collapsed,3,1805,3724
2Dmap_marker.csv,common/mapMarker.le.spk,m00025,MapMarkerPoint,Collapsed,3,1804,3723
2Dmap_marker.csv,common/mapMarker.le.spk,m00026,MapMarkerPoint,Collapsed,6,1740,3751
2Dmap_marker.csv,common/mapMarker.le.spk,m00027,MapMarkerPoint,Collapsed,18,1739,3754
2Dmap_marker.csv,common/mapMarker.le.spk,m00028,MapMarkerPoint,Collapsed,9,1036,3722
2Dmap_marker.csv,common/mapMarker.le.spk,m00031,MapMarker,Visible,1,2031,2031
2Dmap_marker.csv,common/mapMarker.le.spk,m00031,MapMarkerUnder,Visible,5,1024,3033
2Dmap_marker.csv,common/mapMarker.le.spk,m00032,MapMarker,Visible,3,2032,2037
2Dmap_marker.csv,common/mapMarker.le.spk,m00033,MapMarker,Visible,3,3034,4029
2Dmap_marker.csv,common/mapMarker.le.spk,m00034,MapMarker,Visible,3,1026,1034
2Dmap_marker.csv,common/mapMarker.le.spk,m00035,MapMarker,Visible,4,2058,4041
2Dmap_marker.csv,common/mapMarker.le.spk,m00036,MapMarker,Visible,4,2205,4103
2Dmap_marker.csv,common/mapMarker.le.spk,m00038,MapMarker,Visible,8,1013,3025
2Dmap_marker.csv,common/mapMarker.le.spk,m00041,MapMarkerPoint,Collapsed,6,1822,3769
2Dmap_marker.csv,common/mapMarker.le.spk,m00042,MapMarkerPoint,Collapsed,1,3770,3770
2Dmap_marker.csv,common/mapMarker.le.spk,m00043,MapMarkerPoint,Collapsed,14,1050,4040
2Dmap_marker.csv,common/mapMarker.le.spk,m00049,MapMarker,Collapsed,11,1712,3205
2Dmap_marker.csv,common/mapMarker.le.spk,m00050,MapMarker,Collapsed,11,1777,3203
2Dmap_marker.csv,common/mapMarker.le.spk,m00051,MapMarkerPoint,Collapsed,19,1746,3776
2Dmap_marker.csv,common/mapMarker.le.spk,m00052,MapMarkerPoint,Collapsed,3,1831,3777
2Dmap_marker.csv,common/mapMarker.le.spk,m00053,MapMarkerPoint,Collapsed,13,1750,2838
2Dmap_marker.csv,common/mapMarker.le.spk,m00060,MapMarker,Visible,1,5013,5013
2Dmap_marker.csv,common/mapMarkerAetheryte.le.spk,ma00001,MapMarkerAetheryte,Visible,20,1001,5002
2Dmap_marker.csv,common/mapMarkerAetheryte.le.spk,ma00001,MapMarkerAetheryteUnder,Visible,5,1005,4016
2Dmap_marker.csv,common/mapMarkerAetheryte.le.spk,ma00002,MapMarkerAetheryte,Visible,63,1002,5014
2Dmap_marker.csv,common/mapMarkerAetheryte.le.spk,ma00004,MapMarkerAetheryte,Collapsed,2,1716,2817
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00001,MapMarkerSymbol,Visible,2,1021,1022
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00002,MapMarkerSymbol,Visible,2,3029,3030
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00003,MapMarkerSymbol,Visible,2,4022,4023
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00004,MapMarkerSymbol,Visible,2,2027,2028
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00005,MapMarkerSymbol,Visible,1,1704,1704
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00005,MapMarkerSymbolUnder,Visible,1,2024,2024
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00006,MapMarkerSymbol,Visible,1,2912,2912
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00006,MapMarkerSymbolLeft,Visible,1,3759,3759
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00006,MapMarkerSymbolUnder,Visible,1,1872,1872
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00007,MapMarkerSymbol,Visible,4,1725,3701
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00008,MapMarkerSymbol,Visible,2,1795,3702
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00008,MapMarkerSymbolUnder,Visible,1,2712,2712
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00009,MapMarkerSymbol,Visible,2,1782,2708
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00009,MapMarkerSymbolUnder,Visible,1,3709,3709
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00020,MapMarkerSymbol,Visible,1,1701,1701
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00021,MapMarkerSymbol,Visible,1,1778,1778
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00022,MapMarkerSymbol,Visible,1,1702,1702
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00023,MapMarkerSymbol,Visible,1,1780,1780
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00024,MapMarkerSymbolUnder,Visible,1,1779,1779
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00025,MapMarkerSymbolUnder,Visible,1,1703,1703
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00026,MapMarkerSymbol,Collapsed,1,1781,1781
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00027,MapMarkerSymbol,Visible,1,3703,3703
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00028,MapMarkerSymbol,Visible,1,3704,3704
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00029,MapMarkerSymbol,Visible,1,3705,3705
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00030,MapMarkerSymbol,Visible,1,3707,3707
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00031,MapMarkerSymbol,Visible,1,3708,3708
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00032,MapMarkerSymbol,Visible,1,3706,3706
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00033,MapMarkerSymbolUnder,Visible,1,2702,2702
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00034,MapMarkerSymbol,Visible,1,2707,2707
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00035,MapMarkerSymbol,Visible,1,2703,2703
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00036,MapMarkerSymbolUnder,Visible,1,2704,2704
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00037,MapMarkerSymbolUnder,Visible,1,2821,2821
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00038,MapMarkerSymbolUnder,Visible,1,2705,2705
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00039,MapMarkerSymbol,Visible,1,2706,2706
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00040,MapMarkerSymbol,Visible,1,1785,1785
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00041,MapMarkerSymbol,Visible,1,1783,1783
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00042,MapMarkerSymbol,Visible,1,1784,1784
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00043,MapMarkerSymbol,Visible,1,3711,3711
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00044,MapMarkerSymbol,Visible,1,3710,3710
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00045,MapMarkerSymbol,Visible,1,3712,3712
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00046,MapMarkerSymbolUnder,Visible,1,2711,2711
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00047,MapMarkerSymbol,Visible,1,2709,2709
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00048,MapMarkerSymbol,Visible,1,2710,2710
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00053,MapMarkerSymbol,Collapsed,1,1799,1799
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00055,MapMarkerSymbol,Collapsed,2,1794,2818
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00056,MapMarkerSymbol,Collapsed,2,1710,2811
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00057,MapMarkerSymbol,Collapsed,2,1721,2807
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00064,MapMarkerSymbol,Collapsed,1,1796,1796
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00065,MapMarkerSymbol,Collapsed,1,1717,1717
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00066,MapMarkerSymbol,Collapsed,1,1797,1797
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00067,MapMarkerSymbol,Collapsed,1,1719,1719
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00068,MapMarkerSymbol,Collapsed,1,1718,1718
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00069,MapMarkerSymbol,Collapsed,1,1798,1798
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00070,MapMarkerSymbol,Collapsed,1,1720,1720
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00077,MapMarkerSymbol,Collapsed,1,2801,2801
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00078,MapMarkerSymbol,Collapsed,1,2806,2806
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00079,MapMarkerSymbol,Collapsed,1,2802,2802
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00080,MapMarkerSymbol,Collapsed,1,2803,2803
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00081,MapMarkerSymbol,Collapsed,1,2701,2701
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00082,MapMarkerSymbol,Collapsed,1,2804,2804
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00083,MapMarkerSymbol,Collapsed,1,2805,2805
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00084,MapMarkerSymbol,Collapsed,1,1724,1724
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00085,MapMarkerSymbol,Collapsed,1,1722,1722
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00086,MapMarkerSymbol,Collapsed,1,1723,1723
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00090,MapMarkerSymbol,Collapsed,1,2810,2810
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00091,MapMarkerSymbol,Collapsed,1,2808,2808
2Dmap_marker.csv,common/mapMarkerSymbol.le.spk,ms00092,MapMarkerSymbol,Collapsed,1,2809,2809
2Dmap_marker.csv,debug/mark_anime_sample.le.spk,sqTest1,MapMarker,Visible,23,1,11500
quest_marker.csv,common/mapMarker.le.spk,m00013,MapMarker,Visible,6497,1,12005800
quest_marker.csv,common/mapMarker.le.spk,m00013,MapMarkerQuest,Visible,1252,11000101,12045200
quest_marker.csv,common/mapMarker.le.spk,m00018,MapMarkerQuest,Visible,5,11062704,11212102
quest_marker.csv,common/mapMarker.le.spk,m00018,MapMarkerQuestArea,Visible,22,11044208,11181009
quest_marker.csv,common/mapMarker.le.spk,m00029,MapMarkerQuest,Visible,15,11062801,11500711
quest_marker.csv,common/mapMarker.le.spk,m00029,MapMarkerQuestArea,Visible,98,11046006,11500902
