status_row_id,status_word_hex,low_wire_id_hex,high_wire_id_hex,chant_kind_1,chant_kind_2,object_bits_8_11,object_bits_14_15,object_bits_12_13
223016,0x00036728,0x59E8,0x9D38,6,7,7,1,2
223017,0x00036729,0x59E9,0x9D39,6,7,7,1,2
223018,0x0003672A,0x59EA,0x9D3A,6,7,7,1,2
223019,0x0003672B,0x59EB,0x9D3B,6,7,7,1,2
223020,0x0003672C,0x59EC,0x9D3C,6,7,7,1,2
223021,0x0003672D,0x59ED,0x9D3D,6,7,7,1,2
223022,0x0003672E,0x59EE,0x9D3E,6,7,7,1,2
223023,0x0003672F,0x59EF,0x9D3F,6,7,7,1,2
223024,0x00036730,0x59F0,0x9D40,6,7,7,1,2
223025,0x00036731,0x59F1,0x9D41,6,7,7,1,2
223026,0x00036732,0x59F2,0x9D42,6,7,7,1,2
223027,0x00036733,0x59F3,0x9D43,6,7,7,1,2
223028,0x00036734,0x59F4,0x9D44,6,7,7,1,2
223029,0x00036735,0x59F5,0x9D45,6,7,7,1,2
223030,0x00036736,0x59F6,0x9D46,6,7,7,1,2
223031,0x00036737,0x59F7,0x9D47,6,7,7,1,2
223032,0x00036738,0x59F8,0x9D48,6,7,7,1,2
223033,0x00036739,0x59F9,0x9D49,6,7,7,1,2
223034,0x0003673A,0x59FA,0x9D4A,6,7,7,1,2
223035,0x0003673B,0x59FB,0x9D4B,6,7,7,1,2
223036,0x0003673C,0x59FC,0x9D4C,6,7,7,1,2
223037,0x0003673D,0x59FD,0x9D4D,6,7,7,1,2
223038,0x0003673E,0x59FE,0x9D4E,6,7,7,1,2
223039,0x0003673F,0x59FF,0x9D4F,6,7,7,1,2
223040,0x00036740,0x5A00,0x9D50,6,7,7,1,2
223041,0x00036741,0x5A01,0x9D51,6,7,7,1,2
223042,0x00036742,0x5A02,0x9D52,6,7,7,1,2
223043,0x00036743,0x5A03,0x9D53,6,7,7,1,2
223044,0x00036744,0x5A04,0x9D54,6,7,7,1,2
223045,0x00036745,0x5A05,0x9D55,6,7,7,1,2
223046,0x00036746,0x5A06,0x9D56,6,7,7,1,2
223047,0x00036747,0x5A07,0x9D57,6,7,7,1,2
223048,0x00036748,0x5A08,0x9D58,6,7,7,1,2
223049,0x00036749,0x5A09,0x9D59,6,7,7,1,2
223050,0x0003674A,0x5A0A,0x9D5A,6,7,7,1,2
223051,0x0003674B,0x5A0B,0x9D5B,6,7,7,1,2
223052,0x0003674C,0x5A0C,0x9D5C,6,7,7,1,2
223053,0x0003674D,0x5A0D,0x9D5D,6,7,7,1,2
223054,0x0003674E,0x5A0E,0x9D5E,6,7,7,1,2
223055,0x0003674F,0x5A0F,0x9D5F,6,7,7,1,2
223056,0x00036750,0x5A10,0x9D60,6,7,7,1,2
223057,0x00036751,0x5A11,0x9D61,6,7,7,1,2
223058,0x00036752,0x5A12,0x9D62,6,7,7,1,2
223059,0x00036753,0x5A13,0x9D63,6,7,7,1,2
223060,0x00036754,0x5A14,0x9D64,6,7,7,1,2
223061,0x00036755,0x5A15,0x9D65,6,7,7,1,2
223062,0x00036756,0x5A16,0x9D66,6,7,7,1,2
223063,0x00036757,0x5A17,0x9D67,6,7,7,1,2
223064,0x00036758,0x5A18,0x9D68,6,7,7,1,2
223065,0x00036759,0x5A19,0x9D69,6,7,7,1,2
223066,0x0003675A,0x5A1A,0x9D6A,6,7,7,1,2
223067,0x0003675B,0x5A1B,0x9D6B,6,7,7,1,2
223068,0x0003675C,0x5A1C,0x9D6C,6,7,7,1,2
223069,0x0003675D,0x5A1D,0x9D6D,6,7,7,1,2
223070,0x0003675E,0x5A1E,0x9D6E,6,7,7,1,2
223071,0x0003675F,0x5A1F,0x9D6F,6,7,7,1,2
223072,0x00036760,0x5A20,0x9D70,6,7,7,1,2
223073,0x00036761,0x5A21,0x9D71,6,7,7,1,2
223074,0x00036762,0x5A22,0x9D72,6,7,7,1,2
223075,0x00036763,0x5A23,0x9D73,6,7,7,1,2
223076,0x00036764,0x5A24,0x9D74,6,7,7,1,2
223077,0x00036765,0x5A25,0x9D75,6,7,7,1,2
223078,0x00036766,0x5A26,0x9D76,6,7,7,1,2
223079,0x00036767,0x5A27,0x9D77,6,7,7,1,2
223080,0x00036768,0x5A28,0x9D78,6,7,7,1,2
223081,0x00036769,0x5A29,0x9D79,6,7,7,1,2
223082,0x0003676A,0x5A2A,0x9D7A,6,7,7,1,2
223083,0x0003676B,0x5A2B,0x9D7B,6,7,7,1,2
223084,0x0003676C,0x5A2C,0x9D7C,6,7,7,1,2
223085,0x0003676D,0x5A2D,0x9D7D,6,7,7,1,2
223086,0x0003676E,0x5A2E,0x9D7E,6,7,7,1,2
223087,0x0003676F,0x5A2F,0x9D7F,6,7,7,1,2
223088,0x00036770,0x5A30,0x9D80,6,7,7,1,2
223089,0x00036771,0x5A31,0x9D81,6,7,7,1,2
223090,0x00036772,0x5A32,0x9D82,6,7,7,1,2
223091,0x00036773,0x5A33,0x9D83,6,7,7,1,2
223092,0x00036774,0x5A34,0x9D84,6,7,7,1,2
223093,0x00036775,0x5A35,0x9D85,6,7,7,1,2
223094,0x00036776,0x5A36,0x9D86,6,7,7,1,2
223095,0x00036777,0x5A37,0x9D87,6,7,7,1,2
223096,0x00036778,0x5A38,0x9D88,6,7,7,1,2
223097,0x00036779,0x5A39,0x9D89,6,7,7,1,2
223098,0x0003677A,0x5A3A,0x9D8A,6,7,7,1,2
223099,0x0003677B,0x5A3B,0x9D8B,6,7,7,1,2
223100,0x0003677C,0x5A3C,0x9D8C,6,7,7,1,2
223101,0x0003677D,0x5A3D,0x9D8D,6,7,7,1,2
223102,0x0003677E,0x5A3E,0x9D8E,6,7,7,1,2
223103,0x0003677F,0x5A3F,0x9D8F,6,7,7,1,2
223104,0x00036780,0x5A40,0x9D90,6,7,7,1,2
223105,0x00036781,0x5A41,0x9D91,6,7,7,1,2
223106,0x00036782,0x5A42,0x9D92,6,7,7,1,2
223107,0x00036783,0x5A43,0x9D93,6,7,7,1,2
223108,0x00036784,0x5A44,0x9D94,6,7,7,1,2
223109,0x00036785,0x5A45,0x9D95,6,7,7,1,2
223110,0x00036786,0x5A46,0x9D96,6,7,7,1,2
223111,0x00036787,0x5A47,0x9D97,6,7,7,1,2
223112,0x00036788,0x5A48,0x9D98,6,7,7,1,2
223113,0x00036789,0x5A49,0x9D99,6,7,7,1,2
223114,0x0003678A,0x5A4A,0x9D9A,6,7,7,1,2
223115,0x0003678B,0x5A4B,0x9D9B,6,7,7,1,2
223116,0x0003678C,0x5A4C,0x9D9C,6,7,7,1,2
223117,0x0003678D,0x5A4D,0x9D9D,6,7,7,1,2
223118,0x0003678E,0x5A4E,0x9D9E,6,7,7,1,2
223119,0x0003678F,0x5A4F,0x9D9F,6,7,7,1,2
223120,0x00036790,0x5A50,0x9DA0,6,7,7,1,2
223121,0x00036791,0x5A51,0x9DA1,6,7,7,1,2
223123,0x00036793,0x5A53,0x9DA3,6,7,7,1,2
223124,0x00036794,0x5A54,0x9DA4,6,7,7,1,2
223125,0x00036795,0x5A55,0x9DA5,6,7,7,1,2
223126,0x00036796,0x5A56,0x9DA6,6,7,7,1,2
223127,0x00036797,0x5A57,0x9DA7,6,7,7,1,2
223128,0x00036798,0x5A58,0x9DA8,6,7,7,1,2
223129,0x00036799,0x5A59,0x9DA9,6,7,7,1,2
223130,0x0003679A,0x5A5A,0x9DAA,6,7,7,1,2
223131,0x0003679B,0x5A5B,0x9DAB,6,7,7,1,2
223132,0x0003679C,0x5A5C,0x9DAC,6,7,7,1,2
223133,0x0003679D,0x5A5D,0x9DAD,6,7,7,1,2
223134,0x0003679E,0x5A5E,0x9DAE,6,7,7,1,2
223135,0x0003679F,0x5A5F,0x9DAF,6,7,7,1,2
223136,0x000367A0,0x5A60,0x9DB0,6,7,7,1,2
223137,0x000367A1,0x5A61,0x9DB1,6,7,7,1,2
223138,0x000367A2,0x5A62,0x9DB2,6,7,7,1,2
223139,0x000367A3,0x5A63,0x9DB3,6,7,7,1,2
223140,0x000367A4,0x5A64,0x9DB4,6,7,7,1,2
223141,0x000367A5,0x5A65,0x9DB5,6,7,7,1,2
223142,0x000367A6,0x5A66,0x9DB6,6,7,7,1,2
223143,0x000367A7,0x5A67,0x9DB7,6,7,7,1,2
223144,0x000367A8,0x5A68,0x9DB8,6,7,7,1,2
223145,0x000367A9,0x5A69,0x9DB9,6,7,7,1,2
223146,0x000367AA,0x5A6A,0x9DBA,6,7,7,1,2
223147,0x000367AB,0x5A6B,0x9DBB,6,7,7,1,2
223148,0x000367AC,0x5A6C,0x9DBC,6,7,7,1,2
223149,0x000367AD,0x5A6D,0x9DBD,6,7,7,1,2
223150,0x000367AE,0x5A6E,0x9DBE,6,7,7,1,2
223151,0x000367AF,0x5A6F,0x9DBF,6,7,7,1,2
223152,0x000367B0,0x5A70,0x9DC0,6,7,7,1,2
223153,0x000367B1,0x5A71,0x9DC1,6,7,7,1,2
223154,0x000367B2,0x5A72,0x9DC2,6,7,7,1,2
223155,0x000367B3,0x5A73,0x9DC3,6,7,7,1,2
223156,0x000367B4,0x5A74,0x9DC4,6,7,7,1,2
223157,0x000367B5,0x5A75,0x9DC5,6,7,7,1,2
223158,0x000367B6,0x5A76,0x9DC6,6,7,7,1,2
223159,0x000367B7,0x5A77,0x9DC7,6,7,7,1,2
223160,0x000367B8,0x5A78,0x9DC8,6,7,7,1,2
223161,0x000367B9,0x5A79,0x9DC9,6,7,7,1,2
223162,0x000367BA,0x5A7A,0x9DCA,6,7,7,1,2
223163,0x000367BB,0x5A7B,0x9DCB,6,7,7,1,2
223164,0x000367BC,0x5A7C,0x9DCC,6,7,7,1,2
223165,0x000367BD,0x5A7D,0x9DCD,6,7,7,1,2
223166,0x000367BE,0x5A7E,0x9DCE,6,7,7,1,2
223167,0x000367BF,0x5A7F,0x9DCF,6,7,7,1,2
223168,0x000367C0,0x5A80,0x9DD0,6,7,7,1,2
223169,0x000367C1,0x5A81,0x9DD1,6,7,7,1,2
223170,0x000367C2,0x5A82,0x9DD2,6,7,7,1,2
223171,0x000367C3,0x5A83,0x9DD3,6,7,7,1,2
223172,0x000367C4,0x5A84,0x9DD4,6,7,7,1,2
223173,0x000367C5,0x5A85,0x9DD5,6,7,7,1,2
223174,0x000367C6,0x5A86,0x9DD6,6,7,7,1,2
223175,0x000367C7,0x5A87,0x9DD7,6,7,7,1,2
223176,0x000367C8,0x5A88,0x9DD8,6,7,7,1,2
223177,0x000367C9,0x5A89,0x9DD9,6,7,7,1,2
223178,0x000367CA,0x5A8A,0x9DDA,6,7,7,1,2
223179,0x000367CB,0x5A8B,0x9DDB,6,7,7,1,2
223180,0x000367CC,0x5A8C,0x9DDC,6,7,7,1,2
223181,0x000367CD,0x5A8D,0x9DDD,6,7,7,1,2
223182,0x000367CE,0x5A8E,0x9DDE,6,7,7,1,2
223183,0x000367CF,0x5A8F,0x9DDF,6,7,7,1,2
223184,0x000367D0,0x5A90,0x9DE0,6,7,7,1,2
223185,0x000367D1,0x5A91,0x9DE1,6,7,7,1,2
223186,0x000367D2,0x5A92,0x9DE2,6,7,7,1,2
223187,0x000367D3,0x5A93,0x9DE3,6,7,7,1,2
223188,0x000367D4,0x5A94,0x9DE4,6,7,7,1,2
223189,0x000367D5,0x5A95,0x9DE5,6,7,7,1,2
223190,0x000367D6,0x5A96,0x9DE6,6,7,7,1,2
223191,0x000367D7,0x5A97,0x9DE7,6,7,7,1,2
223192,0x000367D8,0x5A98,0x9DE8,6,7,7,1,2
223193,0x000367D9,0x5A99,0x9DE9,6,7,7,1,2
223194,0x000367DA,0x5A9A,0x9DEA,6,7,7,1,2
223195,0x000367DB,0x5A9B,0x9DEB,6,7,7,1,2
223196,0x000367DC,0x5A9C,0x9DEC,6,7,7,1,2
223197,0x000367DD,0x5A9D,0x9DED,6,7,7,1,2
223198,0x000367DE,0x5A9E,0x9DEE,6,7,7,1,2
223199,0x000367DF,0x5A9F,0x9DEF,6,7,7,1,2
223200,0x000367E0,0x5AA0,0x9DF0,6,7,7,1,2
223201,0x000367E1,0x5AA1,0x9DF1,6,7,7,1,2
223202,0x000367E2,0x5AA2,0x9DF2,6,7,7,1,2
223203,0x000367E3,0x5AA3,0x9DF3,6,7,7,1,2
223204,0x000367E4,0x5AA4,0x9DF4,6,7,7,1,2
223205,0x000367E5,0x5AA5,0x9DF5,6,7,7,1,2
223206,0x000367E6,0x5AA6,0x9DF6,6,7,7,1,2
223207,0x000367E7,0x5AA7,0x9DF7,6,7,7,1,2
223208,0x000367E8,0x5AA8,0x9DF8,6,7,7,1,2
223209,0x000367E9,0x5AA9,0x9DF9,6,7,7,1,2
223210,0x000367EA,0x5AAA,0x9DFA,6,7,7,1,2
223211,0x000367EB,0x5AAB,0x9DFB,6,7,7,1,2
223212,0x000367EC,0x5AAC,0x9DFC,6,7,7,1,2
223213,0x000367ED,0x5AAD,0x9DFD,6,7,7,1,2
223214,0x000367EE,0x5AAE,0x9DFE,6,7,7,1,2
223215,0x000367EF,0x5AAF,0x9DFF,6,7,7,1,2
223216,0x000367F0,0x5AB0,0x9E00,6,7,7,1,2
223217,0x000367F1,0x5AB1,0x9E01,6,7,7,1,2
223218,0x000367F2,0x5AB2,0x9E02,6,7,7,1,2
223219,0x000367F3,0x5AB3,0x9E03,6,7,7,1,2
223220,0x000367F4,0x5AB4,0x9E04,6,7,7,1,2
223221,0x000367F5,0x5AB5,0x9E05,6,7,7,1,2
223222,0x000367F6,0x5AB6,0x9E06,6,7,7,1,2
223223,0x000367F7,0x5AB7,0x9E07,6,7,7,1,2
223224,0x000367F8,0x5AB8,0x9E08,6,7,7,1,2
223225,0x000367F9,0x5AB9,0x9E09,6,7,7,1,2
223226,0x000367FA,0x5ABA,0x9E0A,6,7,7,1,2
223227,0x000367FB,0x5ABB,0x9E0B,6,7,7,1,2
223228,0x000367FC,0x5ABC,0x9E0C,6,7,7,1,2
223229,0x000367FD,0x5ABD,0x9E0D,6,7,7,1,2
223230,0x000367FE,0x5ABE,0x9E0E,6,7,7,1,2
223231,0x000367FF,0x5ABF,0x9E0F,6,7,7,1,2
223232,0x00036800,0x5AC0,0x9E10,6,8,8,1,2
223233,0x00036801,0x5AC1,0x9E11,6,8,8,1,2
223234,0x00036802,0x5AC2,0x9E12,6,8,8,1,2
223235,0x00036803,0x5AC3,0x9E13,6,8,8,1,2
223236,0x00036804,0x5AC4,0x9E14,6,8,8,1,2
223237,0x00036805,0x5AC5,0x9E15,6,8,8,1,2
223238,0x00036806,0x5AC6,0x9E16,6,8,8,1,2
223239,0x00036807,0x5AC7,0x9E17,6,8,8,1,2
223240,0x00036808,0x5AC8,0x9E18,6,8,8,1,2
223241,0x00036809,0x5AC9,0x9E19,6,8,8,1,2
223242,0x0003680A,0x5ACA,0x9E1A,6,8,8,1,2
223243,0x0003680B,0x5ACB,0x9E1B,6,8,8,1,2
223244,0x0003680C,0x5ACC,0x9E1C,6,8,8,1,2
223245,0x0003680D,0x5ACD,0x9E1D,6,8,8,1,2
223248,0x00036810,0x5AD0,0x9E20,6,8,8,1,2
223249,0x00036811,0x5AD1,0x9E21,6,8,8,1,2
223250,0x00036812,0x5AD2,0x9E22,6,8,8,1,2
223251,0x00036813,0x5AD3,0x9E23,6,8,8,1,2
223252,0x00036814,0x5AD4,0x9E24,6,8,8,1,2
223253,0x00036815,0x5AD5,0x9E25,6,8,8,1,2
223254,0x00036816,0x5AD6,0x9E26,6,8,8,1,2
223255,0x00036817,0x5AD7,0x9E27,6,8,8,1,2
223256,0x00036818,0x5AD8,0x9E28,6,8,8,1,2
223258,0x0003681A,0x5ADA,0x9E2A,6,8,8,1,2
223259,0x0003681B,0x5ADB,0x9E2B,6,8,8,1,2
223260,0x0003681C,0x5ADC,0x9E2C,6,8,8,1,2
223261,0x0003681D,0x5ADD,0x9E2D,6,8,8,1,2
223262,0x0003681E,0x5ADE,0x9E2E,6,8,8,1,2
223263,0x0003681F,0x5ADF,0x9E2F,6,8,8,1,2
223264,0x00036820,0x5AE0,0x9E30,6,8,8,1,2
223265,0x00036821,0x5AE1,0x9E31,6,8,8,1,2
223266,0x00036822,0x5AE2,0x9E32,6,8,8,1,2
223267,0x00036823,0x5AE3,0x9E33,6,8,8,1,2
223268,0x00036824,0x5AE4,0x9E34,6,8,8,1,2
223269,0x00036825,0x5AE5,0x9E35,6,8,8,1,2
223270,0x00036826,0x5AE6,0x9E36,6,8,8,1,2
223271,0x00036827,0x5AE7,0x9E37,6,8,8,1,2
223272,0x00036828,0x5AE8,0x9E38,6,8,8,1,2
223273,0x00036829,0x5AE9,0x9E39,6,8,8,1,2
223274,0x0003682A,0x5AEA,0x9E3A,6,8,8,1,2
223275,0x0003682B,0x5AEB,0x9E3B,6,8,8,1,2
223992,0x00036AF8,0x5DB8,0xA108,6,10,10,1,2
223993,0x00036AF9,0x5DB9,0xA109,6,10,10,1,2
223994,0x00036AFA,0x5DBA,0xA10A,6,10,10,1,2
223998,0x00036AFE,0x5DBE,0xA10E,6,10,10,1,2
223999,0x00036AFF,0x5DBF,0xA10F,6,10,10,1,2
224001,0x00036B01,0x5DC1,0xA111,6,11,11,1,2
224002,0x00036B02,0x5DC2,0xA112,6,11,11,1,2
224003,0x00036B03,0x5DC3,0xA113,6,11,11,1,2
224004,0x00036B04,0x5DC4,0xA114,6,11,11,1,2
224005,0x00036B05,0x5DC5,0xA115,6,11,11,1,2
224006,0x00036B06,0x5DC6,0xA116,6,11,11,1,2
224007,0x00036B07,0x5DC7,0xA117,6,11,11,1,2
224008,0x00036B08,0x5DC8,0xA118,6,11,11,1,2
224009,0x00036B09,0x5DC9,0xA119,6,11,11,1,2
224010,0x00036B0A,0x5DCA,0xA11A,6,11,11,1,2
225001,0x00036EE9,0x61A9,0xA4F9,6,14,14,1,2
225002,0x00036EEA,0x61AA,0xA4FA,6,14,14,1,2
225003,0x00036EEB,0x61AB,0xA4FB,6,14,14,1,2
225004,0x00036EEC,0x61AC,0xA4FC,6,14,14,1,2
225005,0x00036EED,0x61AD,0xA4FD,6,14,14,1,2
225006,0x00036EEE,0x61AE,0xA4FE,6,14,14,1,2
225007,0x00036EEF,0x61AF,0xA4FF,6,14,14,1,2
225008,0x00036EF0,0x61B0,0xA500,6,14,14,1,2
225009,0x00036EF1,0x61B1,0xA501,6,14,14,1,2
225010,0x00036EF2,0x61B2,0xA502,6,14,14,1,2
228001,0x00037AA1,0x6D61,0xB0B1,7,10,10,1,3
228011,0x00037AAB,0x6D6B,0xB0BB,7,10,10,1,3
228012,0x00037AAC,0x6D6C,0xB0BC,7,10,10,1,3
228013,0x00037AAD,0x6D6D,0xB0BD,7,10,10,1,3
228021,0x00037AB5,0x6D75,0xB0C5,7,10,10,1,3
228031,0x00037ABF,0x6D7F,0xB0CF,7,10,10,1,3
228041,0x00037AC9,0x6D89,0xB0D9,7,10,10,1,3
228051,0x00037AD3,0x6D93,0xB0E3,7,10,10,1,3
230001,0x00038271,0x7531,0xB881,8,2,2,2,0
230002,0x00038272,0x7532,0xB882,8,2,2,2,0
230003,0x00038273,0x7533,0xB883,8,2,2,2,0
230004,0x00038274,0x7534,0xB884,8,2,2,2,0
230005,0x00038275,0x7535,0xB885,8,2,2,2,0
230006,0x00038276,0x7536,0xB886,8,2,2,2,0
230007,0x00038277,0x7537,0xB887,8,2,2,2,0
230008,0x00038278,0x7538,0xB888,8,2,2,2,0
230009,0x00038279,0x7539,0xB889,8,2,2,2,0
230010,0x0003827A,0x753A,0xB88A,8,2,2,2,0
230011,0x0003827B,0x753B,0xB88B,8,2,2,2,0
230012,0x0003827C,0x753C,0xB88C,8,2,2,2,0
230013,0x0003827D,0x753D,0xB88D,8,2,2,2,0
230014,0x0003827E,0x753E,0xB88E,8,2,2,2,0
230015,0x0003827F,0x753F,0xB88F,8,2,2,2,0
230016,0x00038280,0x7540,0xB890,8,2,2,2,0
230017,0x00038281,0x7541,0xB891,8,2,2,2,0
230018,0x00038282,0x7542,0xB892,8,2,2,2,0
231001,0x00038659,0x7919,0xBC69,8,6,6,2,0
231002,0x0003865A,0x791A,0xBC6A,8,6,6,2,0
231003,0x0003865B,0x791B,0xBC6B,8,6,6,2,0
231004,0x0003865C,0x791C,0xBC6C,8,6,6,2,0
231005,0x0003865D,0x791D,0xBC6D,8,6,6,2,0
231006,0x0003865E,0x791E,0xBC6E,8,6,6,2,0
231007,0x0003865F,0x791F,0xBC6F,8,6,6,2,0
231008,0x00038660,0x7920,0xBC70,8,6,6,2,0
231009,0x00038661,0x7921,0xBC71,8,6,6,2,0
231010,0x00038662,0x7922,0xBC72,8,6,6,2,0
231011,0x00038663,0x7923,0xBC73,8,6,6,2,0
231012,0x00038664,0x7924,0xBC74,8,6,6,2,0
231013,0x00038665,0x7925,0xBC75,8,6,6,2,0
231014,0x00038666,0x7926,0xBC76,8,6,6,2,0
231015,0x00038667,0x7927,0xBC77,8,6,6,2,0
231016,0x00038668,0x7928,0xBC78,8,6,6,2,0
231017,0x00038669,0x7929,0xBC79,8,6,6,2,0
231018,0x0003866A,0x792A,0xBC7A,8,6,6,2,0
231019,0x0003866B,0x792B,0xBC7B,8,6,6,2,0
231020,0x0003866C,0x792C,0xBC7C,8,6,6,2,0
231021,0x0003866D,0x792D,0xBC7D,8,6,6,2,0
231022,0x0003866E,0x792E,0xBC7E,8,6,6,2,0
231023,0x0003866F,0x792F,0xBC7F,8,6,6,2,0
231024,0x00038670,0x7930,0xBC80,8,6,6,2,0
231025,0x00038671,0x7931,0xBC81,8,6,6,2,0
231026,0x00038672,0x7932,0xBC82,8,6,6,2,0
231027,0x00038673,0x7933,0xBC83,8,6,6,2,0
231028,0x00038674,0x7934,0xBC84,8,6,6,2,0
231029,0x00038675,0x7935,0xBC85,8,6,6,2,0
231030,0x00038676,0x7936,0xBC86,8,6,6,2,0
231031,0x00038677,0x7937,0xBC87,8,6,6,2,0
231032,0x00038678,0x7938,0xBC88,8,6,6,2,0
231033,0x00038679,0x7939,0xBC89,8,6,6,2,0
231034,0x0003867A,0x793A,0xBC8A,8,6,6,2,0
231035,0x0003867B,0x793B,0xBC8B,8,6,6,2,0
231036,0x0003867C,0x793C,0xBC8C,8,6,6,2,0
231037,0x0003867D,0x793D,0xBC8D,8,6,6,2,0
231038,0x0003867E,0x793E,0xBC8E,8,6,6,2,0
231039,0x0003867F,0x793F,0xBC8F,8,6,6,2,0
231040,0x00038680,0x7940,0xBC90,8,6,6,2,0
231041,0x00038681,0x7941,0xBC91,8,6,6,2,0
231042,0x00038682,0x7942,0xBC92,8,6,6,2,0
232001,0x00038A41,0x7D01,0xC051,8,10,10,2,0
232002,0x00038A42,0x7D02,0xC052,8,10,10,2,0
232003,0x00038A43,0x7D03,0xC053,8,10,10,2,0
232004,0x00038A44,0x7D04,0xC054,8,10,10,2,0
232005,0x00038A45,0x7D05,0xC055,8,10,10,2,0
232011,0x00038A4B,0x7D0B,0xC05B,8,10,10,2,0
232012,0x00038A4C,0x7D0C,0xC05C,8,10,10,2,0
232013,0x00038A4D,0x7D0D,0xC05D,8,10,10,2,0
232014,0x00038A4E,0x7D0E,0xC05E,8,10,10,2,0
232015,0x00038A4F,0x7D0F,0xC05F,8,10,10,2,0
251001,0x0003D479,,,13,4,4,3,1
253001,0x0003DC49,,,13,12,12,3,1
253002,0x0003DC4A,,,13,12,12,3,1
253003,0x0003DC4B,,,13,12,12,3,1
