id,name_en,name_jp,id_band,class_job,req_level,compat_key,caster_state_req,dmg_attr,dmg_attr_label,dmg_attr_weight,dmg_elem,dmg_elem_label,dmg_elem_weight,dmg_class,magnitude,hp_cost,mp_cost,tp_cost,cast_time,recast_time,action_gauge,range,best_range,min_range,effect_range,recast_sep_hands,target_state_gate,p1_base,p1_grow,p2_base,p2_grow,p3_base,p3_grow,p4_base,p4_grow,effect_block_raw
12011,Enemy Marks,マーキング,12xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
12013,***,装備一部表示非表示,12xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
12014,***,***,12xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
12015,***,***,12xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
12016,Queue Command,先行入力,12xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
12017,Job Change,ジョブチェンジ,12xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
21001,Active Mode,アクティブモード,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
21002,Passive Mode,パッシブモード,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
21003,Rest,レスティング,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,5,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
21004,Wake,レスティング解除,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,2,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
21005,Rush,速唱,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
21006,Interrupt,詠唱中断,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
21007,Use Item,アイテム,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,7,15,5,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
21008,Use Item,オートアタックターゲット変更,21xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22001,Synthesize,製作,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,30,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22002,Mine,採掘,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,50,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22003,Log,採取,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,50,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22004,Fish,釣り,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,50,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22005,Herd,牧獣,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,50,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22006,Quarry,採掘２,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22007,Harvest,採取２,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22008,Spearfish,釣り２,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22009,Herd 2,牧獣２,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22010,Heightened Senses,感知強化,22xxx,0,1,1,0,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22011,Caution,警戒,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,81,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22012,Bazaar,バザー修理,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22013,Repair,修理,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22014,Meld Materia,マテリア装着,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,30,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22015,***,マテリア装着成功率問い合わせ用,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22016,Meld Materia,マテリア装着実行,22xxx,0,1,1,1,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,-1,-1,0,0,false,30,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=0
22101,Unarmed,すっぴん攻撃,22xxx,1,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22102,Heavy Strike,正拳,22xxx,2,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,3,3,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22103,Light Slash,ライトスラッシュ,22xxx,3,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,2.5,3,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22104,Attack,攻撃,22xxx,0,100,1,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,5,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22105,Light Swing,スウィング,22xxx,4,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,4,3,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22106,***,決闘攻撃,22xxx,5,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,3,3,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22107,Bludgeon,棍攻撃,22xxx,6,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,3,3,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22108,Light Shot,ショット,22xxx,7,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,4.5,3,20,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22109,Light Thrust,スラスト,22xxx,8,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,3.5,3,8,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22110,Discharge,銃攻撃,22xxx,9,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,3,8,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22111,Guard,ガード,22xxx,10,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,1.5,-1,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22112,Block,ブロック,22xxx,10,1,1,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,0,5,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22113,Throw,投擲,22xxx,0,1,1,2,-1,None,0,-1,None,0,none,0,0,0,0,0,5,3.5,8,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22114,Stone Throw,つぶて打ち,22xxx,0,1,1,2,4,Projectile,1,-1,None,0,physical,50,0,0,0,0,5,3.5,12,-1,0,0,false,-1,,,,,0,-1,,,84=50;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=0;96=100;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=0;108=4;109=1;110=-1;111=0;112=-1;113=0;116=0;120=60
22301,Magic Missile,マジックミサイル,22xxx,0,1,1,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,3.5,15,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22302,Phantom Dart,ファントムダート,22xxx,22,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,10,0,15,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22303,Spirit Dart,スピリットダート,22xxx,23,1,113,2,-1,None,0,-1,None,0,none,0,0,0,0,0,10,0,15,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22304,Magic Missile,マジックミサイル,22xxx,0,1,1,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,3.5,15,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22305,Magic Missile,マジックミサイル,22xxx,0,1,1,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,3.5,15,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
22306,Magic Missile,マジックミサイル,22xxx,0,1,1,2,-1,None,0,-1,None,0,none,0,0,0,0,0,0,3.5,15,-1,0,0,false,-1,,,,,0,-1,,,84=0;85=1;86=1;87=-1;88=0;89=-1;90=0;91=-1;92=0;93=-1;94=0;95=1;96=0;97=1;98=1;99=-1;100=0;101=-1;102=0;103=-1;104=0;105=-1;106=0;107=1;108=-1;109=0;110=-1;111=0;112=-1;113=0;116=0;120=60
